"","passer_player_name","yd_10_segments","att","completions","cp"
"319","Ty.Taylor","40yd to 50yd",1,1,100
"320","Ty.Taylor","Behind LOS",21,17,80.9523809523809
"321","Ty.Taylor","LOS to 10yd",87,58,66.6666666666667
"322","Ty.Taylor","Over 50yd",2,1,50
"323","Z.Wilson","10yd to 20yd",48,22,45.8333333333333
"324","Z.Wilson","20yd to 30yd",20,12,60
"325","Z.Wilson","30yd to 40yd",5,1,20
"326","Z.Wilson","40yd to 50yd",5,1,20
"327","Z.Wilson","Behind LOS",37,27,72.972972972973
"328","Z.Wilson","LOS to 10yd",125,77,61.6
"329","Z.Wilson","Over 50yd",2,1,50
